,log(p),Threshold,Time to cancer
0,-6.28200706229945,10,99.7178082191781
1,-6.22500941351864,10,81.345205479452
2,-6.87379083059447,3,12.9041095890411
3,-7.06949396800651,3,12.9150684931507
4,-6.16741634383318,10,88.9068493150685
5,-6.76624575905798,4,24.3178082191781
6,-6.09573970625877,5,28.172602739726
7,-6.43439646796215,3,6.01095890410959
8,-6.4992615736503,5,33.3671232876712
9,-6.49865836626231,2,6.68219178082192
10,-6.12257603971882,4,8.4958904109589
11,-7.15402463385605,4,32.6
12,-6.16964264918871,4,11.3205479452055
13,-6.09725354057886,4,12.3808219178082
14,-6.26521913894578,2,6.32602739726027
15,-6.29441816145038,9,72.4986301369863
16,-6.38135767433101,3,8.46301369863014
17,-6.08590230168542,2,5.94520547945205
18,-6.15918477699332,3,7.00821917808219
19,-6.10949162951533,4,12.6493150684932
20,-6.38471110955928,8,42.9780821917808
21,-6.92984622886581,6,49.4739726027397
22,-6.2629745596,10,92.5260273972603
23,-6.30164646279797,6,43.6356164383562
24,-6.1974026566658,10,81.1397260273973
25,-6.14691251527976,5,14.4684931506849
26,-6.79100416137717,8,93.3808219178082
27,-6.30467922400587,6,40.3616438356164
28,-6.269014247336,9,65.4876712328767
29,-6.08546429384658,4,7.72602739726027
30,-6.78557173952932,7,92.2082191780822
31,-6.8197107802136,3,9.32602739726027
32,-6.09185943842985,7,48.9972602739726
33,-7.63948604033385,4,41.1835616438356
34,-6.08529795259789,8,52.5534246575342
35,-6.5565167613489,6,35.3753424657534
36,-6.90006524259699,5,31.3287671232877
37,-6.54012776626661,5,25.3616438356164
38,-6.08751953689996,11,84.1178082191781
39,-6.25077643796421,7,49.0465753424658
40,-6.42305703703703,7,50.6246575342466
41,-6.88855655546302,3,8.88767123287671
42,-8.69175320543976,2,20.4219178082192
43,-6.34062437365866,4,17.2821917808219
44,-6.4835482975366,4,14.0849315068493
45,-6.21741965098206,5,17.986301369863
46,-6.66897592943029,8,85.2986301369863
47,-6.17668562459722,4,12.8986301369863
48,-6.41521521351354,6,37.5150684931507
49,-6.14327643954325,9,80.8356164383562
50,-6.13473644071492,8,57.3260273972603
51,-6.22931210135942,6,33.6739726027397
52,-6.08752517937477,5,13.5671232876712
53,-6.41811040441707,3,7.97260273972603
54,-8.34360507528598,2,10.9095890410959
55,-6.21189200400996,4,14.0191780821918
56,-6.46105982076656,2,5.70684931506849
57,-6.2696044125616,3,6.60547945205479
58,-7.62273825097653,4,38.3232876712329
59,-6.54107993351221,2,7.51232876712329
60,-6.48465637197787,7,69.8219178082192
61,-6.36259716201047,3,7.98356164383562
62,-6.23217795824434,6,29.2301369863014
63,-6.76814249778686,2,6.88219178082192
64,-6.58182052246861,10,97.3808219178082
65,-6.35412145386571,8,64.0082191780822
66,-6.64414801463923,4,21.1945205479452
67,-7.29294055750008,3,9.30958904109589
68,-6.58747047240748,8,76.4684931506849
69,-6.23520896324349,3,7.52876712328767
70,-7.5958572070029,4,28.4246575342466
71,-6.99242108845487,5,42.0301369863014
72,-6.11854189293876,7,43.1972602739726
73,-6.43596196440782,5,28.4
74,-6.35356547301979,8,55.9232876712329
75,-6.20132899750135,5,20.3315068493151
76,-6.43589146051228,5,26.9452054794521
77,-6.23954624376473,7,44.7945205479452
78,-6.85448663566344,6,54.8849315068493
79,-7.10369929488668,2,9.01369863013699
80,-7.27253619217585,6,57.9068493150685
81,-6.18002785384258,9,83.6904109589041
82,-6.20571361307225,8,52.0027397260274
83,-6.54460873059578,5,26.586301369863
84,-6.28363832544395,2,6.24383561643836
85,-6.86173357480179,4,20.5369863013699
86,-6.38017970653299,5,22.1753424657534
87,-6.40655752478744,2,6.71506849315069
88,-6.15081550964015,4,15.1150684931507
89,-6.23454603094877,5,29.427397260274
90,-6.19307453272748,7,52.9972602739726
91,-6.16118097802458,9,94.9972602739726
92,-6.6864906900372,9,97.6027397260274
93,-7.22586424856318,6,75.7232876712329
94,-6.19604576840169,7,49.0739726027397
95,-6.55953999904366,8,59.5561643835617
96,-6.1332919100904,4,13.4794520547945
97,-6.11727709477486,6,31.2958904109589
98,-6.50042529813084,9,96.9671232876712
99,-6.34833562797292,5,26.1315068493151
100,-7.2807841040201,4,26.0191780821918
101,-6.51697384890259,5,31.6684931506849
102,-6.59988539117094,7,67.0739726027397
103,-6.63493359416733,4,15.0602739726027
