,log(n),Threshold,Time to cancer
0,10.8347941087157,4,15.8630136986301
1,9.51664307714423,2,8.89315068493151
2,10.8294249489312,2,10.5013698630137
3,10.797707536478,3,11.9506849315069
4,10.3462055467784,4,27.0301369863014
5,10.5437934546701,2,9.55890410958904
6,10.3321938954118,2,10.5287671232877
7,10.6856145350377,5,41.2465753424658
8,10.8460595450912,2,8.8958904109589
9,10.4312246383117,6,80.6164383561644
10,10.6385093417378,4,32.1890410958904
11,10.8195343889631,3,13.0684931506849
12,10.7320278885529,6,73.7698630136986
13,10.6800260663589,5,45.6219178082192
14,9.94184019406652,2,9.47123287671233
15,10.3549592135924,5,59.8849315068493
16,10.683093357415,2,9.64109589041096
17,9.81721224183443,3,16.9890410958904
18,10.5630264325204,4,28.4301369863014
19,10.4401715540607,6,74.6
20,10.4449599128994,2,10.3315068493151
21,10.0445896527759,3,14.6630136986301
22,9.75012376189845,5,67.6082191780822
23,10.8157046604027,3,11.8794520547945
24,10.4241069641888,4,28.9369863013699
25,10.7223399459238,2,10.5068493150685
26,9.84668855168844,3,18.0383561643836
27,10.4242709108612,3,15.5890410958904
28,10.8331158789495,6,74.9561643835616
29,9.44580917431332,4,33.9369863013699
30,10.4563144531443,2,9.10684931506849
31,10.3333164418999,6,81.9369863013699
32,10.0022831504473,4,30.4575342465753
33,9.99346598318775,5,62.2191780821918
34,9.66100215712267,5,63.241095890411
35,10.3522083157121,4,32.1945205479452
36,10.8309084511151,3,12.0767123287671
37,9.64452139765958,2,9.09041095890411
38,10.7746601202493,3,12.8876712328767
39,10.8245045143008,5,39.358904109589
40,10.8216849602508,2,8.67671232876712
41,10.7698729672906,7,87.8027397260274
42,10.6183669449816,4,15.9041095890411
43,10.7432598650337,2,9.61643835616438
44,10.2262645410964,5,58.6082191780822
45,10.76930516418,3,11.172602739726
46,10.0847996091603,6,79.0027397260274
47,10.5137754538752,2,9.80821917808219
48,10.7124737559023,4,25.5945205479452
49,10.7779714653668,3,11.5808219178082
50,10.6801316464991,6,72.3972602739726
51,10.5035326594449,5,47.9342465753425
