Probability of Developing Cancer
By Cancer Site
All Ages  All Races  Both Sexes
2013-2015 

"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"Thyroid","Age 0","Age <br/>5",0.000
"Thyroid","Age 0","Age <br/>10",0.002
"Thyroid","Age 0","Age <br/>15",0.008
"Thyroid","Age 0","Age <br/>20",0.024
"Thyroid","Age 0","Age <br/>25",0.056
"Thyroid","Age 0","Age <br/>30",0.110
"Thyroid","Age 0","Age <br/>35",0.188
"Thyroid","Age 0","Age <br/>40",0.286
"Thyroid","Age 0","Age <br/>45",0.391
"Thyroid","Age 0","Age <br/>50",0.504
"Thyroid","Age 0","Age <br/>55",0.622
"Thyroid","Age 0","Age <br/>60",0.742
"Thyroid","Age 0","Age <br/>65",0.858
"Thyroid","Age 0","Age <br/>70",0.974
"Thyroid","Age 0","Age <br/>75",1.071
"Thyroid","Age 0","Age <br/>80",1.144
"Thyroid","Age 0","Age <br/>85",1.188
"Thyroid","Age 0","Age <br/>90",1.210
"Thyroid","Age 0","Age <br/>95",1.218
"Thyroid","Age 0","Age <br/>95+",1.221
"Thyroid","Age 5","Age <br/>5",
"Thyroid","Age 5","Age <br/>10",0.001
"Thyroid","Age 5","Age <br/>15",0.007
"Thyroid","Age 5","Age <br/>20",0.024
"Thyroid","Age 5","Age <br/>25",0.057
"Thyroid","Age 5","Age <br/>30",0.111
"Thyroid","Age 5","Age <br/>35",0.190
"Thyroid","Age 5","Age <br/>40",0.288
"Thyroid","Age 5","Age <br/>45",0.395
"Thyroid","Age 5","Age <br/>50",0.509
"Thyroid","Age 5","Age <br/>55",0.629
"Thyroid","Age 5","Age <br/>60",0.749
"Thyroid","Age 5","Age <br/>65",0.867
"Thyroid","Age 5","Age <br/>70",0.984
"Thyroid","Age 5","Age <br/>75",1.081
"Thyroid","Age 5","Age <br/>80",1.155
"Thyroid","Age 5","Age <br/>85",1.200
"Thyroid","Age 5","Age <br/>90",1.222
"Thyroid","Age 5","Age <br/>95",1.230
"Thyroid","Age 5","Age <br/>95+",1.233
"Thyroid","Age 10","Age <br/>5",
"Thyroid","Age 10","Age <br/>10",
"Thyroid","Age 10","Age <br/>15",0.006
"Thyroid","Age 10","Age <br/>20",0.022
"Thyroid","Age 10","Age <br/>25",0.055
"Thyroid","Age 10","Age <br/>30",0.109
"Thyroid","Age 10","Age <br/>35",0.189
"Thyroid","Age 10","Age <br/>40",0.287
"Thyroid","Age 10","Age <br/>45",0.394
"Thyroid","Age 10","Age <br/>50",0.508
"Thyroid","Age 10","Age <br/>55",0.628
"Thyroid","Age 10","Age <br/>60",0.748
"Thyroid","Age 10","Age <br/>65",0.866
"Thyroid","Age 10","Age <br/>70",0.983
"Thyroid","Age 10","Age <br/>75",1.081
"Thyroid","Age 10","Age <br/>80",1.155
"Thyroid","Age 10","Age <br/>85",1.199
"Thyroid","Age 10","Age <br/>90",1.221
"Thyroid","Age 10","Age <br/>95",1.230
"Thyroid","Age 10","Age <br/>95+",1.233
"Thyroid","Age 15","Age <br/>5",
"Thyroid","Age 15","Age <br/>10",
"Thyroid","Age 15","Age <br/>15",
"Thyroid","Age 15","Age <br/>20",0.016
"Thyroid","Age 15","Age <br/>25",0.049
"Thyroid","Age 15","Age <br/>30",0.103
"Thyroid","Age 15","Age <br/>35",0.183
"Thyroid","Age 15","Age <br/>40",0.281
"Thyroid","Age 15","Age <br/>45",0.388
"Thyroid","Age 15","Age <br/>50",0.502
"Thyroid","Age 15","Age <br/>55",0.622
"Thyroid","Age 15","Age <br/>60",0.743
"Thyroid","Age 15","Age <br/>65",0.861
"Thyroid","Age 15","Age <br/>70",0.978
"Thyroid","Age 15","Age <br/>75",1.075
"Thyroid","Age 15","Age <br/>80",1.150
"Thyroid","Age 15","Age <br/>85",1.194
"Thyroid","Age 15","Age <br/>90",1.216
"Thyroid","Age 15","Age <br/>95",1.225
"Thyroid","Age 15","Age <br/>95+",1.228
"Thyroid","Age 20","Age <br/>5",
"Thyroid","Age 20","Age <br/>10",
"Thyroid","Age 20","Age <br/>15",
"Thyroid","Age 20","Age <br/>20",
"Thyroid","Age 20","Age <br/>25",0.033
"Thyroid","Age 20","Age <br/>30",0.087
"Thyroid","Age 20","Age <br/>35",0.167
"Thyroid","Age 20","Age <br/>40",0.266
"Thyroid","Age 20","Age <br/>45",0.373
"Thyroid","Age 20","Age <br/>50",0.487
"Thyroid","Age 20","Age <br/>55",0.607
"Thyroid","Age 20","Age <br/>60",0.728
"Thyroid","Age 20","Age <br/>65",0.847
"Thyroid","Age 20","Age <br/>70",0.964
"Thyroid","Age 20","Age <br/>75",1.062
"Thyroid","Age 20","Age <br/>80",1.136
"Thyroid","Age 20","Age <br/>85",1.181
"Thyroid","Age 20","Age <br/>90",1.203
"Thyroid","Age 20","Age <br/>95",1.211
"Thyroid","Age 20","Age <br/>95+",1.214
"Thyroid","Age 25","Age <br/>5",
"Thyroid","Age 25","Age <br/>10",
"Thyroid","Age 25","Age <br/>15",
"Thyroid","Age 25","Age <br/>20",
"Thyroid","Age 25","Age <br/>25",
"Thyroid","Age 25","Age <br/>30",0.054
